,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,movie ticket_label,medium pizza_label,coca cola_label,oven_label,shampoo_label
52,52,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",200,450,40,8000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,5-20% under,more than 20% over,accurate,5-20% over,accurate
53,53,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,250,50,10000,190,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% under,5-20% under,more than 20% over,more than 20% over,more than 20% under
54,54,18-24,Female,Kolkata,"Below Rs. 50,000",No,250,280,30,6000,240,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Accurate,accurate,5-20% under,more than 20% under,5-20% under,5-20% under
55,55,18-24,Male,Other,"Below Rs. 50,000","Yes, but only for myself",230,250,30,4500,210,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Indifferent,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,5-20% under,5-20% under,more than 20% under,more than 20% under,more than 20% under
56,56,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",280,300,30,6500,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Accurate,Accurate,5-20% over,accurate,more than 20% under,5-20% under,5-20% under
57,57,18-24,Female,Kolkata,"Below Rs. 50,000",No,180,280,30,5000,220,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Digital,Indifferent,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Underestimated,Accurate,Underestimated,Underestimated,Underestimated,more than 20% under,5-20% under,more than 20% under,more than 20% under,more than 20% under
58,58,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,275,30,5500,200,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Indifferent,Online,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,accurate,5-20% under,more than 20% under,more than 20% under,more than 20% under
59,59,18-24,Male,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,300,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,5-20% over,more than 20% over,accurate,more than 20% over,accurate
60,60,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,300,450,40,7000,300,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,5-20% over,more than 20% over,accurate,accurate,accurate
61,61,18-24,Female,Bangalore,"Below Rs. 50,000","Yes, for the whole household",260,340,40,6000,180,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Underestimated,accurate,5-20% over,accurate,5-20% under,more than 20% under
62,62,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,200,30,5000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,accurate,more than 20% under,more than 20% under,more than 20% under,more than 20% under
63,63,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,450,35,10000,350,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,accurate,more than 20% over,5-20% under,more than 20% over,5-20% over
64,64,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,200,450,45,10000,240,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,5-20% under,more than 20% over,5-20% over,more than 20% over,5-20% under
65,65,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,10000,280,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,5-20% under,more than 20% over,accurate,more than 20% over,5-20% under
66,66,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,400,200,40,15000,100,Fairly Charged,Overcharged,Overcharged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Overestimated,Underestimated,more than 20% over,more than 20% under,accurate,more than 20% over,more than 20% under
67,67,18-24,Female,Delhi/NCR,0,No,250,300,45,10000,50,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,accurate,accurate,5-20% over,more than 20% over,more than 20% under
68,68,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,400,45,7000,180,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,accurate,more than 20% over,5-20% over,accurate,more than 20% under
69,69,55+,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",300,250,80,4000,80,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,5-20% over,5-20% under,more than 20% over,more than 20% under,more than 20% under
70,70,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",290,150,40,6350,310,Fairly Charged,Undercharged,Undercharged,Fairly Charged,Undercharged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Accurate,5-20% over,more than 20% under,accurate,5-20% under,accurate
71,71,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",330,200,40,7400,125,Fairly Charged,Fairly Charged,Undercharged,Undercharged,Fairly Charged,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,more than 20% under,accurate,5-20% over,more than 20% under
72,72,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",315,245,50,5300,155,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,more than 20% over,5-20% under,more than 20% over,more than 20% under,more than 20% under
73,73,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",250,350,40,10000,200,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,accurate,5-20% over,accurate,more than 20% over,more than 20% under
74,74,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,290,45,7800,200,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,accurate,5-20% over,5-20% over,more than 20% under
75,75,55+,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,40,15000,400,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,5-20% over,more than 20% over,accurate,more than 20% over,more than 20% over
76,76,35-54,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,290,45,7000,220,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,accurate,5-20% over,accurate,more than 20% under
77,77,25-34,Male,Other,"Below Rs. 50,000",No,200,300,30,10000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Underestimated,Overestimated,Overestimated,5-20% under,accurate,more than 20% under,more than 20% over,more than 20% over
78,78,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,290,45,7000,220,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,accurate,5-20% over,accurate,more than 20% under
79,79,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,290,45,6500,245,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Accurate,Accurate,5-20% over,accurate,5-20% over,5-20% under,5-20% under
80,80,55+,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,250,45,6500,220,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,5-20% under,5-20% over,5-20% under,more than 20% under
81,81,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,300,350,30,6000,250,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Underestimated,Underestimated,Accurate,5-20% over,5-20% over,more than 20% under,5-20% under,5-20% under
82,82,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",310,200,50,4999,190,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,more than 20% over,more than 20% under,more than 20% over,more than 20% under,more than 20% under
83,83,55+,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,300,40,5000,220,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,more than 20% over,accurate,accurate,more than 20% under,more than 20% under
84,84,18-24,Other,Delhi/NCR,"Above Rs. 5,00,000",No,350,550,40,6000,400,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Digital,Offline,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Accurate,Underestimated,Overestimated,more than 20% over,more than 20% over,accurate,5-20% under,more than 20% over
85,85,35-54,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,400,50,10000,250,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,5-20% over,more than 20% over,more than 20% over,more than 20% over,5-20% under
86,86,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,350,45,8000,220,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,more than 20% over,5-20% over,5-20% over,5-20% over,more than 20% under
87,87,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,250,40,1500,300,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,0,0,0,0,Yes,Yes,No,No,No,Cash,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Accurate,accurate,5-20% under,accurate,more than 20% under,accurate
88,88,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",150,200,40,5000,150,Fairly Charged,Overcharged,Overcharged,Overcharged,Overcharged,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Underestimated,Accurate,Accurate,Underestimated,Underestimated,more than 20% under,more than 20% under,accurate,more than 20% under,more than 20% under
89,89,18-24,Male,Delhi/NCR,"Above Rs. 5,00,000",No,380,280,70,18000,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,No Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,more than 20% over,5-20% under,more than 20% over,more than 20% over,more than 20% under
90,90,25-34,Female,Kolkata,"Above Rs. 5,00,000","Yes, for the whole household",380,280,50,15000,175,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,Yes,No,Yes,No,No,No,No,Yes,0,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,more than 20% over,5-20% under,more than 20% over,more than 20% over,more than 20% under
91,91,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",380,280,50,18000,275,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,more than 20% over,5-20% under,more than 20% over,more than 20% over,5-20% under
92,92,18-24,Female,Other,"Below Rs. 50,000",No,250,300,30,16000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Less Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,accurate,accurate,more than 20% under,more than 20% over,more than 20% under
93,93,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,250,40,1500,300,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Underestimated,Accurate,5-20% over,5-20% under,accurate,more than 20% under,accurate
94,94,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",220,280,70,18000,200,Fairly Charged,Undercharged,Undercharged,Fairly Charged,Overcharged,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% under,5-20% under,more than 20% over,more than 20% over,more than 20% under
95,95,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,280,50,14000,200,0,0,Undercharged,Undercharged,Fairly Charged,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Digital,Offline,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% over,5-20% under,more than 20% over,more than 20% over,more than 20% under
96,96,55+,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",500,200,40,9000,295,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Accurate,Accurate,more than 20% over,more than 20% under,accurate,more than 20% over,accurate
97,97,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",200,100,40,4500,85,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,5-20% under,more than 20% under,accurate,more than 20% under,more than 20% under
98,98,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",420,220,50,5290,60,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Pre Planned,More Frequent,More than 20%,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,more than 20% over,more than 20% under,more than 20% over,more than 20% under,more than 20% under
99,99,25-34,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,420,40,6000,220,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,more than 20% over,more than 20% over,accurate,5-20% under,more than 20% under
100,100,25-34,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",550,450,40,9000,45,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,more than 20% over,more than 20% over,accurate,more than 20% over,more than 20% under
101,101,25-34,Male,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,380,38,4000,208,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,more than 20% over,more than 20% over,accurate,more than 20% under,more than 20% under
102,102,25-34,Male,Other,"Above Rs. 5,00,000","Yes, but only for myself",420,450,35,9200,180,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,more than 20% over,more than 20% over,5-20% under,more than 20% over,more than 20% under
103,103,25-34,Female,Bangalore,"Above Rs. 5,00,000","Yes, for the whole household",600,500,40,11500,150,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,more than 20% over,more than 20% over,accurate,more than 20% over,more than 20% under
104,104,35-54,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",400,250,35,6500,110,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,more than 20% over,5-20% under,5-20% under,5-20% under,more than 20% under
