,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel_numeric,Food and dishes_numeric,Commodities and groceries_numeric,Productivity; gadgets and technology_numeric,Lifestyle; beauty and clothing_numeric,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
57,18-24,Female,Other,"Above Rs. 5,00,000",No,250,200,80,6000,150,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,2,2,2,2,5,3,5,5
58,25-34,Female,Mumbai,"Above Rs. 5,00,000","Yes, but only for myself",300,200,75,5000,95,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,0,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,1,2,4,4,2,2
59,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",400,300,40,5000,200,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,0,1,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0.2,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,2,1,1,2,2,5,1,1,1
60,18-24,Other,Mumbai,"Below Rs. 50,000",No,250,400,40,5000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,0,0,0,0,0,0,0,0,1,Digital,Offline,Pre Planned,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Underestimated,Overestimated,1,1,1,1,2,5,1,2,3
61,18-24,Other,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,350,350,40,8000,200,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,1,0,1,Digital,Indifferent,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,2,2,1,2,2,4,3,3,2
62,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,600,300,200,2000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,0,1,1,1,1,1,Digital,Indifferent,Spontaneous,Indifferent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Accurate,2,1,1,1,2,4,3,4,3
63,18-24,Other,Delhi/NCR,"Above Rs. 5,00,000","Yes, but only for myself",500,400,40,20000,250,Overcharged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,1,0,1,1,0,1,1,1,0,1,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,2,2,1,2,1,5,3,5,4
64,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",200,350,60,2500,140,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,1,0,0,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,2,1,1,2,2,5,5,5,5
65,18-24,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",330,400,50,25000,250,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,2,2,4,3,4,4
66,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,280,50,14000,275,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,0,1,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,2,1,1,2,2,4,4,4,4
67,18-24,Female,Kolkata,"Rs. 2,00,000- 5,00,000",No,330,350,50,25000,275,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,1,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Indifferent,Indifferent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,2,2,2,2,2,4,3,3,3
68,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",220,300,70,14000,275,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,0,1,1,0,1,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,1,1,0,2,2,5,5,2,2
69,18-24,Female,Kolkata,"Rs. 50,000- 2,00,000","Yes, but only for myself",330,450,50,18000,175,Fairly Charged,Overcharged,Undercharged,Fairly Charged,Overcharged,0,0,0,0,0,1,1,1,0,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,2,0,1,2,4,4,5,4
70,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,550,30,20000,500,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,0,0,0,0,1,Digital,Online,,,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,2,5,4,,
71,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,350,350,70,14000,175,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,0,0,1,1,1,1,1,1,1,Indifferent,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,2,1,1,2,1,3,4,4,4
72,25-34,Male,Kolkata,"Above Rs. 5,00,000","Yes, for the whole household",380,350,100,18000,275,Undercharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,0,1,1,2,1,4,5,5,5
73,18-24,Male,Bangalore,"Above Rs. 5,00,000","Yes, but only for myself",350,350,150,19000,175,Undercharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,0,1,1,0,1,1,1,1,0,Cash,Offline,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,0,1,1,2,1,1,2,2,4
74,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,350,300,70,20000,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,0,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,1,1,2,5,5,5,5
75,25-34,Female,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,400,50,50000,275,Fairly Charged,Overcharged,Undercharged,Overcharged,Undercharged,0,0,1,1,0,1,0,1,1,1,Cash,Indifferent,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,2,0,2,0,2,3,4,5
76,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",300,200,40,30000,300,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,1,1,0,1,1,1,0,0,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,2,1,1,2,5,4,2,2
77,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,500,45,30000,250,Overcharged,Fairly Charged,Overcharged,Undercharged,Overcharged,1,1,1,0,0,1,1,1,0,1,Digital,Online,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,2,1,2,0,2,5,4,1,5
78,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000",No,200,250,30,25000,100,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,2,1,1,2,2,5,3,1,2
79,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,350,30,12000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,1,1,1,1,0,1,Digital,Indifferent,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Underestimated,1,1,1,2,2,5,3,2,2
80,25-34,Female,Other,"Below Rs. 50,000",No,250,280,35,15000,150,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,0,0,Cash,Offline,Pre Planned,,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,2,2,2,2,2,2,2,2,
81,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",150,250,40,25000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,1,0,0,0,1,1,1,0,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Underestimated,Accurate,Accurate,Overestimated,Accurate,2,2,2,2,2,5,5,1,2
82,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",180,400,200,8000,300,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,1,0,1,0,1,0,1,0,1,0,Digital,Offline,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Underestimated,Overestimated,Overestimated,Accurate,Accurate,1,2,1,2,1,5,1,5,5
83,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,10000,250,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,5,2,1,2
84,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,8000,300,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,2,2,5,2,2,2
85,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",200,450,40,8000,300,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,1,1,1,2,4,4,5,2
86,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,50,4000,600,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,1,0,0,1,1,1,0,0,Digital,Offline,Spontaneous,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,1,2,1,1,2,5,1,5,1
87,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,250,50,10000,190,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,0,1,1,1,1,1,0,0,1,Digital,Online,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,1,1,1,2,5,4,3,2
88,18-24,Female,Kolkata,"Below Rs. 50,000",No,250,280,30,6000,240,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,1,1,1,1,0,1,Digital,Indifferent,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Accurate,1,1,1,2,1,4,3,2,3
89,18-24,Male,Other,"Below Rs. 50,000","Yes, but only for myself",230,250,30,4500,210,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,0,1,0,0,1,0,1,0,1,Indifferent,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,2,2,1,1,2,3,5,2,4
90,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",280,300,30,6500,250,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,0,1,1,1,1,0,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Accurate,Accurate,2,2,1,1,1,4,4,3,4
91,18-24,Female,Kolkata,"Below Rs. 50,000",No,180,280,30,5000,220,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,0,0,1,Digital,Indifferent,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Underestimated,Accurate,Underestimated,Underestimated,Underestimated,1,2,1,1,1,5,3,3,1
92,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,275,30,5500,200,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,1,0,0,1,0,1,Indifferent,Online,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,1,1,1,1,2,3,4,2,4
93,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,200,400,40,,200,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Cash,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,2,2,2,2,2,1,1,2,2
94,18-24,Male,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,300,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,0,1,1,1,1,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,1,0,2,2,5,5,1,2
95,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,300,450,40,7000,300,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,2,2,2,5,4,4,4
96,18-24,Female,Bangalore,"Below Rs. 50,000","Yes, for the whole household",260,340,40,6000,180,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,1,1,1,1,0,0,0,0,1,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Underestimated,1,1,1,2,1,5,3,3,3
97,18-24,Female,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,300,150,30000,200,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,1,0,0,0,0,0,1,1,0,1,Digital,Offline,Spontaneous,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,1,2,1,1,2,5,1,5,3
98,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,200,30,5000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,1,1,0,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,2,1,1,1,2,5,3,4,4
99,35-54,Female,Other,"Above Rs. 5,00,000",No,250,250,100,4000,100,Overcharged,Overcharged,Overcharged,Overcharged,Fairly Charged,0,1,1,1,1,1,1,1,0,1,Digital,Indifferent,Spontaneous,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,2,2,2,1,5,3,4,3
100,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,450,35,10000,350,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,0,1,1,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,1,2,5,2,1,1
101,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,200,450,45,10000,240,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,5,5,1,5
102,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,500,400,8000,350,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,0,1,1,0,1,1,1,1,1,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Accurate,Accurate,2,2,1,1,2,5,2,2,1
103,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,10000,280,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,1,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,1,2,5,3,1,2
104,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,400,200,40,15000,100,Fairly Charged,Overcharged,Overcharged,Overcharged,Fairly Charged,1,1,1,0,1,1,1,1,0,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Overestimated,Underestimated,1,2,2,2,1,5,5,5,5
105,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,200,5000,400,Overcharged,Overcharged,Overcharged,Overcharged,Fairly Charged,1,1,1,0,,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,2,2,2,1,4,3,2,2
106,18-24,Male,Kolkata,"Below Rs. 50,000",No,250,300,50,250000,200,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,1,1,0,1,1,1,1,1,Digital,Offline,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,2,1,2,2,5,2,4,2
107,25-34,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,395,45,50000,350,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,,1,0,1,1,0,1,0,1,Indifferent,Indifferent,Indifferent,Indifferent,0.2,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,1,1,1,1,1,3,3,3,3
108,25-34,Male,Other,"Rs. 2,00,000- 5,00,000",No,500,450,50,65000,300,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,0,0,0,0,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,3,3,3,3
109,18-24,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",450,399,50,40000,350,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,0,0,0,1,0,0,0,1,0,Indifferent,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,3,4,2,2
110,25-34,Female,Other,"Rs. 2,00,000- 5,00,000",No,250,300,45,35000,350,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,0,1,0,1,0,1,0,1,0,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,1,1,1,1,3,3,3,3
111,18-24,Female,Delhi/NCR,,No,250,300,45,10000,50,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,1,1,1,0,0,1,1,1,1,0,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,2,2,1,1,4,3,2,4
112,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",300,300,40,25000,150,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,1,1,1,1,0,1,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,2,1,1,1,4,3,3,3
113,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,200,600,60,23000,150,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Offline,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,2,2,2,2,2,5,1,5,5
114,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,400,45,7000,180,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,1,1,1,0,1,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,2,1,2,2,2,5,5,1,2
115,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,600,40,20000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,0,0,0,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,2,5,4,3,5
116,18-24,Female,Other,"Below Rs. 50,000",No,200,200,40,20000,600,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,1,1,0,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Accurate,Overestimated,Overestimated,2,2,1,2,2,5,5,5,4
